"county","sldl02","cntyname","pop2k","afact","AFACT2"
"02013","037","Aleutians East Borough AK",2697,1,0.178 
"02016","037","Aleutians West Census Area AK",5465,1,0.361 
"02020","016","Anchorage Borough AK",8001,0.031,0.497 
"02020","017","Anchorage Borough AK",15819,0.061,1 
"02020","018","Anchorage Borough AK",15639,0.06,1 
"02020","019","Anchorage Borough AK",15841,0.061,1 
"02020","020","Anchorage Borough AK",15837,0.061,1 
"02020","021","Anchorage Borough AK",15850,0.061,1 
"02020","022","Anchorage Borough AK",15831,0.061,1 
"02020","023","Anchorage Borough AK",15847,0.061,1 
"02020","024","Anchorage Borough AK",15812,0.061,1 
"02020","025","Anchorage Borough AK",15836,0.061,1 
"02020","026","Anchorage Borough AK",15823,0.061,1 
"02020","027","Anchorage Borough AK",15820,0.061,1 
"02020","028","Anchorage Borough AK",15839,0.061,1 
"02020","029","Anchorage Borough AK",15846,0.061,1 
"02020","030","Anchorage Borough AK",15839,0.061,1 
"02020","031","Anchorage Borough AK",15811,0.061,1 
"02020","032","Anchorage Borough AK",14992,0.058,0.978 
"02050","006","Bethel Census Area AK",1085,0.068,0.073 
"02050","038","Bethel Census Area AK",14921,0.932,1 
"02060","037","Bristol Bay Borough AK",1258,1,0.083 
"02068","008","Denali Borough AK",1893,1,0.122 
"02070","037","Dillingham Census Area AK",4922,1,0.325 
"02090","007","Fairbanks North Star Borough AK",15494,0.187,1 
"02090","008","Fairbanks North Star Borough AK",13648,0.165,0.878 
"02090","009","Fairbanks North Star Borough AK",15723,0.19,1 
"02090","010","Fairbanks North Star Borough AK",15599,0.188,1 
"02090","011","Fairbanks North Star Borough AK",15904,0.192,1 
"02090","012","Fairbanks North Star Borough AK",6472,0.078,0.398 
"02100","005","Haines Borough AK",2392,1,0.159 
"02110","003","Juneau Borough AK",15203,0.495,1 
"02110","004","Juneau Borough AK",15508,0.505,1 
"02122","006","Kenai Peninsula Borough AK",225,0.005,0.015 
"02122","032","Kenai Peninsula Borough AK",155,0.003,0.01 
"02122","033","Kenai Peninsula Borough AK",16466,0.331,1 
"02122","034","Kenai Peninsula Borough AK",16409,0.33,1 
"02122","035","Kenai Peninsula Borough AK",16436,0.331,1 
"02130","001","Ketchikan Gateway Borough AK",14070,1,0.936 
"02150","036","Kodiak Island Borough AK",13913,1,0.932 
"02164","036","Lake and Peninsula Borough AK",1015,0.557,0.068 
"02164","037","Lake and Peninsula Borough AK",808,0.443,0.053 
"02170","012","Matanuska-Susitna Borough AK",2732,0.046,0.168 
"02170","013","Matanuska-Susitna Borough AK",16231,0.274,1 
"02170","014","Matanuska-Susitna Borough AK",16119,0.272,1 
"02170","015","Matanuska-Susitna Borough AK",16137,0.272,1 
"02170","016","Matanuska-Susitna Borough AK",8103,0.137,0.503 
"02180","039","Nome Census Area AK",8634,0.939,0.576 
"02180","040","Nome Census Area AK",562,0.061,0.037 
"02185","040","North Slope Borough AK",7385,1,0.487 
"02188","040","Northwest Arctic Borough AK",7208,1,0.476 
"02201","001","Prince of Wales-Outer Ketchikan Census AK",961,0.156,0.064 
"02201","005","Prince of Wales-Outer Ketchikan Census AK",5185,0.844,0.344 
"02220","002","Sitka Borough AK",8835,1,0.589 
"02232","002","Skagway-Hoonah-Angoon Census Area AK (D)",217,0.063,0.014 
"02232","005","Skagway-Hoonah-Angoon Census Area AK (D)",3219,0.937,0.213 
"02240","006","Southeast Fairbanks Census Area AK",3991,0.646,0.268 
"02240","012","Southeast Fairbanks Census Area AK",2183,0.354,0.134 
"02261","005","Valdez-Cordova Census Area AK",2730,0.268,0.181 
"02261","006","Valdez-Cordova Census Area AK",2398,0.235,0.161 
"02261","012","Valdez-Cordova Census Area AK",4885,0.479,0.3 
"02261","032","Valdez-Cordova Census Area AK",182,0.018,0.012 
"02270","006","Wade Hampton Census Area AK (D)",666,0.095,0.045 
"02270","039","Wade Hampton Census Area AK (D)",6362,0.905,0.424 
"02280","002","Wrangell-Petersburg Census Area AK",5939,0.889,0.396 
"02280","005","Wrangell-Petersburg Census Area AK",745,0.111,0.049 
"02282","005","Yakutat Borough",808,1,0.054 
"02290","006","Yukon-Koyukuk Census Area AK",6540,0.998,0.439 
"02290","008","Yukon-Koyukuk Census Area AK",11,0.002,0.001 
