county14,sldl14,county,cntyname2,pop10,afact,AFACT2
2013,37, ,Aleutians East Borough AK,3141,1,0.18
2016,37, ,Aleutians West Census Area AK,5561,1,0.319
2020,12, ,Anchorage Borough AK,7739,0.027,0.438
2020,13, ,Anchorage Borough AK,17678,0.061,1
2020,14, ,Anchorage Borough AK,17818,0.061,1
2020,15, ,Anchorage Borough AK,17672,0.061,1
2020,16, ,Anchorage Borough AK,17806,0.061,1
2020,17, ,Anchorage Borough AK,17797,0.061,1
2020,18, ,Anchorage Borough AK,17925,0.061,1
2020,19, ,Anchorage Borough AK,17692,0.061,1
2020,20, ,Anchorage Borough AK,17718,0.061,1
2020,21, ,Anchorage Borough AK,17642,0.06,1
2020,22, ,Anchorage Borough AK,17755,0.061,1
2020,23, ,Anchorage Borough AK,17809,0.061,1
2020,24, ,Anchorage Borough AK,17702,0.061,1
2020,25, ,Anchorage Borough AK,17924,0.061,1
2020,26, ,Anchorage Borough AK,17693,0.061,1
2020,27, ,Anchorage Borough AK,17678,0.061,1
2020,28, ,Anchorage Borough AK,17778,0.061,1
2050,37, ,Bethel Census Area AK,213,0.013,0.012
2050,38, ,Bethel Census Area AK,16800,0.987,0.957
2060,37, ,Bristol Bay Borough AK,997,1,0.057
2068,6, ,Denali Borough AK,1826,1,0.103
2070,37, ,Dillingham Census Area AK,4847,1,0.278
2090,1, ,Fairbanks North Star Borough AK,17726,0.182,1
2090,2, ,Fairbanks North Star Borough AK,17738,0.182,1
2090,3, ,Fairbanks North Star Borough AK,17673,0.181,1
2090,4, ,Fairbanks North Star Borough AK,17786,0.182,1
2090,5, ,Fairbanks North Star Borough AK,17837,0.183,1
2090,6, ,Fairbanks North Star Borough AK,8821,0.09,0.495
2100,33, ,Haines Borough AK,2508,1,0.142
2105,33, ,Hoonah-Angoon Census Area,552,0.257,0.031
2105,35, ,Hoonah-Angoon Census Area,1598,0.743,0.09
2110,33, ,Juneau Borough AK,13607,0.435,0.772
2110,34, ,Juneau Borough AK,17668,0.565,1
2122,29, ,Kenai Peninsula Borough AK,18026,0.325,1
2122,30, ,Kenai Peninsula Borough AK,18021,0.325,1
2122,31, ,Kenai Peninsula Borough AK,17971,0.324,1
2122,32, ,Kenai Peninsula Borough AK,1382,0.025,0.076
2130,36, ,Ketchikan Gateway Borough AK,13477,1,0.754
2150,32, ,Kodiak Island Borough AK,13592,1,0.752
2164,37, ,Lake and Peninsula Borough AK,1631,1,0.093
2170,7, ,Matanuska-Susitna Borough AK,17703,0.199,1
2170,8, ,Matanuska-Susitna Borough AK,17830,0.2,1
2170,9, ,Matanuska-Susitna Borough AK,7987,0.09,0.45
2170,10, ,Matanuska-Susitna Borough AK,17827,0.2,1
2170,11, ,Matanuska-Susitna Borough AK,17716,0.199,1
2170,12, ,Matanuska-Susitna Borough AK,9932,0.112,0.562
2180,39, ,Nome Census Area AK,9492,1,0.537
2185,40, ,North Slope Borough AK,9430,1,0.544
2188,40, ,Northwest Arctic Borough AK,7523,1,0.434
2195,35, ,Petersburg Census Area,3815,1,0.214
2198,35, ,Prince of Wales-Hyder Census Area,3531,0.635,0.198
2198,36, ,Prince of Wales-Hyder Census Area,2028,0.365,0.113
2220,35, ,Sitka Borough AK,8881,1,0.498
2230,33, ,Skagway Municipality,968,1,0.055
2240,6, ,Southeast Fairbanks Census Area AK,2232,0.318,0.125
2240,9, ,Southeast Fairbanks Census Area AK,4797,0.682,0.27
2261,6, ,Valdez-Cordova Census Area AK,2240,0.232,0.126
2261,9, ,Valdez-Cordova Census Area AK,4955,0.514,0.279
2261,32, ,Valdez-Cordova Census Area AK,2441,0.253,0.135
2270,38, ,Wade Hampton Census Area AK (D),746,0.1,0.043
2270,39, ,Wade Hampton Census Area AK (D),6713,0.9,0.38
2275,36, ,Wrangell City and Borough,2369,1,0.133
2282,32, ,Yakutat Borough,662,1,0.037
2290,6, ,Yukon-Koyukuk Census Area AK,2688,0.481,0.151
2290,37, ,Yukon-Koyukuk Census Area AK,1058,0.189,0.061
2290,39, ,Yukon-Koyukuk Census Area AK,1472,0.263,0.083
2290,40, ,Yukon-Koyukuk Census Area AK,370,0.066,0.021
