State,County,Winning Party,Dem. Candidate (2016),Dem. Votes,Dem. %,Rep. Candidate (2016),Rep. Votes,Rep. %,Highest Other (2016),Other Votes,Other %
DC,District of Columbia,D,"Clinton, Hillary",282830,90.9,"Trump, Donald",12723,4.1,"Write-In,",6551,2.1
AK,Election District 1,R,"Clinton, Hillary",2573,38.8,"Trump, Donald",3180,47.9,"Johnson, Gary",416,6.3
AK,Election District 10,R,"Clinton, Hillary",1808,20,"Trump, Donald",6255,69.2,"Johnson, Gary",493,5.5
AK,Election District 11,R,"Clinton, Hillary",2142,22.1,"Trump, Donald",6444,66.5,"Johnson, Gary",572,5.9
AK,Election District 12,R,"Clinton, Hillary",1928,20.2,"Trump, Donald",6629,69.5,"Johnson, Gary",548,5.7
AK,Election District 13,R,"Clinton, Hillary",1684,25.8,"Trump, Donald",4028,61.7,"Johnson, Gary",480,7.3
AK,Election District 14,R,"Clinton, Hillary",3043,29.2,"Trump, Donald",5978,57.4,"Johnson, Gary",802,7.7
AK,Election District 15,R,"Clinton, Hillary",1828,36.7,"Trump, Donald",2525,50.7,"Johnson, Gary",335,6.7
AK,Election District 16,D,"Clinton, Hillary",3294,44.3,"Trump, Donald",3203,43.1,"Johnson, Gary",464,6.2
AK,Election District 17,D,"Clinton, Hillary",3290,48.5,"Trump, Donald",2618,38.6,"Johnson, Gary",419,6.2
AK,Election District 18,D,"Clinton, Hillary",3909,52.8,"Trump, Donald",2684,36.3,"Johnson, Gary",424,5.7
AK,Election District 19,D,"Clinton, Hillary",2669,55.7,"Trump, Donald",1636,34.1,"Johnson, Gary",190,4
AK,Election District 2,R,"Clinton, Hillary",1585,28.9,"Trump, Donald",3188,58,"Johnson, Gary",371,6.8
AK,Election District 20,D,"Clinton, Hillary",4151,58.1,"Trump, Donald",2187,30.6,"Johnson, Gary",395,5.5
AK,Election District 21,D,"Clinton, Hillary",4224,48.8,"Trump, Donald",3479,40.2,"Johnson, Gary",526,6.1
AK,Election District 22,R,"Clinton, Hillary",3270,39.1,"Trump, Donald",4203,50.2,"Johnson, Gary",446,5.3
AK,Election District 23,R,"Clinton, Hillary",2894,41.8,"Trump, Donald",3246,46.9,"Johnson, Gary",424,6.1
AK,Election District 24,R,"Clinton, Hillary",3578,38.5,"Trump, Donald",4709,50.7,"Johnson, Gary",574,6.2
AK,Election District 25,R,"Clinton, Hillary",3378,41.6,"Trump, Donald",3816,47,"Johnson, Gary",521,6.4
AK,Election District 26,R,"Clinton, Hillary",3374,37.9,"Trump, Donald",4548,51.1,"Johnson, Gary",536,6
AK,Election District 27,R,"Clinton, Hillary",3729,42.5,"Trump, Donald",4085,46.5,"Johnson, Gary",489,5.6
AK,Election District 28,R,"Clinton, Hillary",4749,41.6,"Trump, Donald",5423,47.5,"Johnson, Gary",696,6.1
AK,Election District 29,R,"Clinton, Hillary",2101,22.4,"Trump, Donald",6347,67.6,"Johnson, Gary",463,4.9
AK,Election District 3,R,"Clinton, Hillary",1241,16.3,"Trump, Donald",5403,71,"Johnson, Gary",518,6.8
AK,Election District 30,R,"Clinton, Hillary",1816,20.3,"Trump, Donald",6194,69.2,"Johnson, Gary",502,5.6
AK,Election District 31,R,"Clinton, Hillary",3466,34,"Trump, Donald",5617,55.2,"Johnson, Gary",500,4.9
AK,Election District 32,R,"Clinton, Hillary",2701,36.1,"Trump, Donald",3764,50.4,"Johnson, Gary",519,6.9
AK,Election District 33,D,"Clinton, Hillary",5978,60.2,"Trump, Donald",2732,27.5,"Johnson, Gary",513,5.2
AK,Election District 34,D,"Clinton, Hillary",4220,44.7,"Trump, Donald",3955,41.9,"Johnson, Gary",609,6.5
AK,Election District 35,R,"Clinton, Hillary",3749,41.5,"Trump, Donald",4105,45.4,"Johnson, Gary",450,5
AK,Election District 36,R,"Clinton, Hillary",2693,32.6,"Trump, Donald",4460,54,"Johnson, Gary",585,7.1
AK,Election District 37,D,"Clinton, Hillary",2421,47.8,"Trump, Donald",1938,38.3,"Johnson, Gary",302,6
AK,Election District 38,D,"Clinton, Hillary",2758,54.1,"Trump, Donald",1143,22.4,"Johnson, Gary",273,5.4
AK,Election District 39,D,"Clinton, Hillary",3142,55.7,"Trump, Donald",1405,24.9,"Johnson, Gary",277,4.9
AK,Election District 4,D,"Clinton, Hillary",4162,43.7,"Trump, Donald",4070,42.7,"Johnson, Gary",585,6.1
AK,Election District 40,D,"Clinton, Hillary",2338,50.7,"Trump, Donald",1377,29.9,"Johnson, Gary",213,4.6
AK,Election District 5,R,"Clinton, Hillary",3187,40.3,"Trump, Donald",3683,46.6,"Johnson, Gary",512,6.5
AK,Election District 6,R,"Clinton, Hillary",2536,30,"Trump, Donald",4929,58.3,"Johnson, Gary",471,5.6
AK,Election District 7,R,"Clinton, Hillary",1510,18.2,"Trump, Donald",5935,71.6,"Johnson, Gary",431,5.2
AK,Election District 8,R,"Clinton, Hillary",1218,15.1,"Trump, Donald",6126,75.9,"Johnson, Gary",364,4.5
AK,Election District 9,R,"Clinton, Hillary",1843,20.6,"Trump, Donald",6100,68.1,"Johnson, Gary",510,5.7
